,cluster
SZAXPI017581-93,3
SZAXPI017582-94,1
SZAXPI017583-102,1
SZAXPI017584-108,3
SZAXPI017585-109,2
SZAXPI017586-111,3
SZAXPI017587-113,2
SZAXPI017588-123,4
SZAXPI017589-133,4
SZAXPI017590-136,3
SZAXPI017593-158,2
SZAXPI017595-169,1
MMRS14602194ST-27-0-0,4
MMRS15137911ST-27-0-0,4
MMRS18295921ST-27-0-0,3
MMRS24340226ST-27-0-0,2
MMRS25641480ST-27-0-0,2
MMRS31306426ST-27-0-0,2
MMRS41266697ST-27-0-0,2
MMRS41711735ST-27-0-0,2
MMRS42780924ST-27-0-0,2
MMRS43939546ST-27-0-0,4
MMRS44197125ST-27-0-0,1
MMRS44203591ST-27-0-0,2
MMRS47685461ST-27-0-0,2
MMRS51728985ST-27-0-0,2
MMRS54316675ST-27-0-0,1
MMRS55294627ST-27-0-0,2
MMRS59699117ST-27-0-0,2
MMRS62376181ST-27-0-0,2
MMRS64281211ST-27-0-0,2
MMRS65205033ST-27-0-0,1
MMRS65945127ST-27-0-0,4
MMRS68910755ST-27-0-0,2
MMRS71762412ST-27-0-0,4
MMRS72802364ST-27-0-0,1
MMRS72980899ST-27-0-0,2
MMRS77018926ST-27-0-0,2
MMRS77321055ST-27-0-0,3
MMRS77487595ST-27-0-0,4
MMRS80093644ST-27-0-0,2
MMRS81194191ST-27-0-0,1
MMRS81671217ST-27-0-0,3
MMRS84954772ST-27-0-0,2
MMRS86178473ST-27-0-0,2
MMRS90191266ST-27-0-0,3
MMRS92544445ST-27-0-0,2
MMRS93508324ST-27-0-0,2
MMRS97052561ST-27-0-0,3
MMRS97327636ST-27-0-0,4
